Player's Name,Height,Weight,Birthplace City,Birthplace State,College,College City,College State,Plays From,Plays From State,Birth Date,Exempt Status,Combined States,Birthplace City and State,College City and State,Plays From City and State,Headshot Link,,
Frank Kennedy,N/A,N/A,Bristol,England,None,None,None,"Bristol, England",England,8/23/2004,N/A,England-None-England,"Bristol, England",N/A,"Bristol, England","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_60795.png",,
Euan Walker,N/A,N/A,Dumfries,Scotland,None,None,None,"Dumfries, Scotland",Scotland,5/23/1995,N/A,Scotland-None-Scotland,"Dumfries, Scotland",N/A,"Dumfries, Scotland","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_57940.png",,
Matt Oshrine,N/A,N/A,Wellington,Florida,Loyola University Maryland,Baltimore,Maryland,"Wellington, FL",Florida,8/23/1998,N/A,Florida-Maryland-Florida,"Wellington, Florida","Baltimore, Maryland","Wellington, Florida","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_54228.png",,
Matthis Besard,N/A,N/A,Brussels,Belgium,None,None,None,"Brussels, Belgium",Belgium,3/23/1997,N/A,Belgium-None-Belgium,"Brussels, Belgium",N/A,"Brussels, Belgium","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_57330.png",,
Wenyi Ding,N/A,N/A,Beijing,China,None,None,None,"Beijing, China",China,8/23/2005,N/A,China-None-China,"Beijing, China",N/A,"Beijing, China","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_63196.png",,
Wil Bateman,N/A,N/A,Edmonton,Alberta,San Diego State University,San Diego,California,"Edmonton, Canada",N/A,8/23/1992,N/A,Alberta-California-N/A,"Edmonton, Alberta","San Diego, California","Edmonton, Canada","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_35490.png",,
Brandon Harkins,N/A,N/A,Concord,California,"California State University, Chico",Chico,California,"Scottsdale, AZ",Arizona,5/13/1986,N/A,California-California-Arizona,"Concord, California","Chico, California","Scottsdale, Arizona","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_35421.png",,
Branden Grace,N/A,N/A,Pretoria,South Africa,None,None,None,"George, South Africa",South Africa,5/20/1988,N/A,South Africa-None-South Africa,"Pretoria, South Africa",N/A,"George, South Africa","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_29974.png",,
Hendrik Du Plessis,N/A,N/A,Pretoria,South Africa,None,None,None,"Pretoria, South Africa",South Africa,8/23/1997,N/A,South Africa-None-South Africa,"Pretoria, South Africa",N/A,"Pretoria, South Africa","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_47497.png",,
Hurly Long,N/A,N/A,Heidelberg,Germany,None,None,None,"Heidelberg, Germany",Germany,1/21/1995,N/A,Germany-None-Germany,"Heidelberg, Germany",N/A,"Heidelberg, Germany","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_55509.png",,
Rahil Gangjee,N/A,N/A,Kolkata,India,None,None,None,"Kolkata, India",India,10/2/1978,N/A,India-None-India,"Kolkata, India",N/A,"Kolkata, India","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_24580.png",,
Christofer Blomstrand,N/A,N/A,Stockholm,Sweden,None,None,None,"Stockholm, Sweden",Sweden,8/23/1991,N/A,Sweden-None-Sweden,"Stockholm, Sweden",N/A,"Stockholm, Sweden","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_48370.png",,
Tomoharu Otsuki,N/A,N/A,Tokyo,Japan,None,None,None,"Tokyo, Japan",Japan,3/23/1989,N/A,Japan-None-Japan,"Tokyo, Japan",N/A,"Tokyo, Japan","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_31016.png",,
Tano Goya,N/A,N/A,Córdoba,Argentina,None,None,None,"Córdoba, Argentina",Argentina,6/1/1988,N/A,Argentina-None-Argentina,"Córdoba, Argentina",N/A,"Córdoba, Argentina","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_31577.png",,
Daan Huizing,N/A,N/A,Utrecht,Netherlands,None,None,None,"Utrecht, Netherlands",Netherlands,10/24/1990,N/A,Netherlands-None-Netherlands,"Utrecht, Netherlands",N/A,"Utrecht, Netherlands","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_31400.png",,
Koshiro Maeda,N/A,N/A,Tokyo,Japan,None,None,None,"Tokyo, Japan",Japan,8/23/1995,N/A,Japan-None-Japan,"Tokyo, Japan",N/A,"Tokyo, Japan","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_56046.png",,
Ryan Burnett,N/A,N/A,Monterey,California,University of North Carolina,Chapel Hill,North Carolina,"Monterey, CA",California,8/23/1998,N/A,California-North Carolina-California,"Monterey, California","Chapel Hill, North Carolina","Monterey, California","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_60005.png",,
T.J. Vogel,N/A,N/A,North Miami Beach,Florida,University of Florida,Gainesville,Florida,"North Miami Beach, FL",Florida,12/23/1990,N/A,Florida-Florida-Florida,"North Miami Beach, Florida","Gainesville, Florida","North Miami Beach, Florida","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_39480.png",,
Tommy Gainey,N/A,N/A,Hartsville,South Carolina,Central Carolina Technical College,Sumter,South Carolina,"Bishopville, SC",South Carolina,8/13/1975,N/A,South Carolina-South Carolina-South Carolina,"Hartsville, South Carolina","Sumter, South Carolina","Bishopville, South Carolina","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_30750.png",,
Tanner Gore,N/A,N/A,Mobile,Alabama,University of Alabama,Tuscaloosa,Alabama,"Mobile, AL",Alabama,8/23/1997,N/A,Alabama-Alabama-Alabama,"Mobile, Alabama","Tuscaloosa, Alabama","Mobile, Alabama","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_57550.png",,
Pierre Pineau,N/A,N/A,Paris,France,None,None,None,"Paris, France",France,3/23/1999,N/A,France-None-France,"Paris, France",N/A,"Paris, France","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_49067.png",,
Matthias Schwab,N/A,N/A,Schladming,Austria,Vanderbilt University,Nashville,Tennessee,"Schladming, Austria",Austria,12/9/1994,N/A,Austria-Tennessee-Austria,"Schladming, Austria","Nashville, Tennessee","Schladming, Austria","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_34610.png",,
Jonathan Goth-Rasmussen,N/A,N/A,Aarhus,Denmark,None,None,None,"Aarhus, Denmark",Denmark,8/23/1998,N/A,Denmark-None-Denmark,"Aarhus, Denmark",N/A,"Aarhus, Denmark","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_52683.png",,
Étienne Papineau,N/A,N/A,Quebec City,Quebec,None,None,None,"Quebec City, Canada",N/A,3/23/1996,N/A,Quebec-None-N/A,"Quebec City, Quebec",N/A,"Quebec City, Canada","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_55892.png",,
Jeffrey Kang,N/A,N/A,Los Angeles,California,None,None,None,"Los Angeles, CA",California,8/23/1995,N/A,California-None-California,"Los Angeles, California",N/A,"Los Angeles, California","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_47393.png",,
Dan McCarthy,N/A,N/A,Syracuse,New York,Le Moyne College,Syracuse,New York,"Palm Beach Gardens, FL",Florida,7/30/1985,N/A,New York-New York-Florida,"Syracuse, New York","Syracuse, New York","Palm Beach Gardens, Florida","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_29675.png",,
Dale Whitnell,N/A,N/A,Colchester,England,None,None,None,"Colchester, England",England,8/9/1988,N/A,England-None-England,"Colchester, England",N/A,"Colchester, England","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_33117.png",,
James Morrison,N/A,N/A,Guildford,England,None,None,None,"Guildford, England",England,1/24/1985,N/A,England-None-England,"Guildford, England",N/A,"Guildford, England","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_29256.png",,
Yusaku Hosono,N/A,N/A,Tokyo,Japan,None,None,None,"Tokyo, Japan",Japan,3/23/1994,N/A,Japan-None-Japan,"Tokyo, Japan",N/A,"Tokyo, Japan","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_56165.png",,
Ian Holt,N/A,N/A,Columbus,Ohio,Kent State University,Kent,Ohio,"Columbus, OH",Ohio,8/23/1997,N/A,Ohio-Ohio-Ohio,"Columbus, Ohio","Kent, Ohio","Columbus, Ohio","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_54525.png",,
JC Ritchie,N/A,N/A,Pretoria,South Africa,None,None,None,"Pretoria, South Africa",South Africa,1/24/1994,N/A,South Africa-None-South Africa,"Pretoria, South Africa",N/A,"Pretoria, South Africa","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_45847.png",,
Simon Forsström,N/A,N/A,Stockholm,Sweden,None,None,None,"Stockholm, Sweden",Sweden,4/15/1989,N/A,Sweden-None-Sweden,"Stockholm, Sweden",N/A,"Stockholm, Sweden","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_47960.png",,
Masahiro Kawamura,N/A,N/A,Tokyo,Japan,None,None,None,"Tokyo, Japan",Japan,2/25/1989,N/A,Japan-None-Japan,"Tokyo, Japan",N/A,"Tokyo, Japan","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_32815.png",,
Matthew Riedel,N/A,N/A,San Diego,California,None,None,None,"San Diego, CA",California,8/23/1999,N/A,California-None-California,"San Diego, California",N/A,"San Diego, California","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_64693.png",,
Ben Taylor,N/A,N/A,London,England,Louisiana State University,Baton Rouge,Louisiana,"London, England",England,11/11/1992,N/A,England-Louisiana-England,"London, England","Baton Rouge, Louisiana","London, England","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_48119.png",,
Adri Arnaus,N/A,N/A,Barcelona,Spain,Texas A&M University,College Station,Texas,"Barcelona, Spain",Spain,10/17/1994,N/A,Spain-Texas-Spain,"Barcelona, Spain","College Station, Texas","Barcelona, Spain","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_52096.png",,
Austin Cook,N/A,N/A,Jonesboro,Arkansas,University of Arkansas,Fayetteville,Arkansas,"Jonesboro, AR",Arkansas,3/13/1991,N/A,Arkansas-Arkansas-Arkansas,"Jonesboro, Arkansas","Fayetteville, Arkansas","Jonesboro, Arkansas","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_46435.png",,
Felix Mory,N/A,N/A,Paris,France,None,None,None,"Paris, France",France,8/23/1995,N/A,France-None-France,"Paris, France",N/A,"Paris, France","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_55468.png",,
Jbe' Kruger,N/A,N/A,Kimberley,South Africa,None,None,None,"Kimberley, South Africa",South Africa,6/23/1986,N/A,South Africa-None-South Africa,"Kimberley, South Africa",N/A,"Kimberley, South Africa","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_30008.png",,
Jacques Blaauw,N/A,N/A,Pretoria,South Africa,None,None,None,"Pretoria, South Africa",South Africa,11/13/1985,N/A,South Africa-None-South Africa,"Pretoria, South Africa",N/A,"Pretoria, South Africa","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_32979.png",,
Hideto Tanihara,N/A,N/A,Tokyo,Japan,None,None,None,"Tokyo, Japan",Japan,11/16/1978,N/A,Japan-None-Japan,"Tokyo, Japan",N/A,"Tokyo, Japan","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_21498.png",,
Chanwoo Kim,N/A,N/A,Seoul,South Korea,None,None,None,"Seoul, South Korea",South Korea,8/23/1994,N/A,South Korea-None-South Korea,"Seoul, South Korea",N/A,"Seoul, South Korea","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_48032.png",,
Pieter Moolman,N/A,N/A,Pretoria,South Africa,None,None,None,"Pretoria, South Africa",South Africa,3/23/1989,N/A,South Africa-None-South Africa,"Pretoria, South Africa",N/A,"Pretoria, South Africa","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_36351.png",,
Benjamin Follett-Smith,N/A,N/A,Harare,Zimbabwe,None,None,None,"Harare, Zimbabwe",Zimbabwe,8/23/1994,N/A,Zimbabwe-None-Zimbabwe,"Harare, Zimbabwe",N/A,"Harare, Zimbabwe","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_35201.png",,
Nelson Ledesma,N/A,N/A,Córdoba,Argentina,None,None,None,"Córdoba, Argentina",Argentina,2/25/1990,N/A,Argentina-None-Argentina,"Córdoba, Argentina",N/A,"Córdoba, Argentina","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_35230.png",,
Daniel Young,N/A,N/A,Edinburgh,Scotland,None,None,None,"Edinburgh, Scotland",Scotland,8/23/1996,N/A,Scotland-None-Scotland,"Edinburgh, Scotland",N/A,"Edinburgh, Scotland","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_48061.png",,
Patrick Welch,N/A,N/A,Houston,Texas,University of Oklahoma,Norman,Oklahoma,"Houston, TX",Texas,8/23/1999,N/A,Texas-Oklahoma-Texas,"Houston, Texas","Norman, Oklahoma","Houston, Texas","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_60021.png",,
Bjorn Hellgren,N/A,N/A,Stockholm,Sweden,None,None,None,"Stockholm, Sweden",Sweden,3/23/1992,N/A,Sweden-None-Sweden,"Stockholm, Sweden",N/A,"Stockholm, Sweden","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_36693.png",,
Sang-hee Lee,N/A,N/A,Seoul,South Korea,None,None,None,"Seoul, South Korea",South Korea,8/23/1990,N/A,South Korea-None-South Korea,"Seoul, South Korea",N/A,"Seoul, South Korea","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_33232.png",,
Brad Kennedy,N/A,N/A,Brisbane,Australia,None,None,None,"Brisbane, Australia",Australia,6/18/1974,N/A,Australia-None-Australia,"Brisbane, Australia",N/A,"Brisbane, Australia","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_23802.png",,
Riki Kawamoto,N/A,N/A,Tokyo,Japan,None,None,None,"Tokyo, Japan",Japan,3/23/1995,N/A,Japan-None-Japan,"Tokyo, Japan",N/A,"Tokyo, Japan","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_51366.png",,
Yuwa Kosaihira,N/A,N/A,Tokyo,Japan,None,None,None,"Tokyo, Japan",Japan,8/23/1996,N/A,Japan-None-Japan,"Tokyo, Japan",N/A,"Tokyo, Japan","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_35287.png",,
Joey Savoie,N/A,N/A,Saint-Jean-sur-Richelieu,Quebec,None,None,None,"Saint-Jean-sur-Richelieu, Canada",N/A,3/23/1994,N/A,Quebec-None-N/A,"Saint-Jean-sur-Richelieu, Quebec",N/A,"Saint-Jean-sur-Richelieu, Canada","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_55592.png",,
Oliver Wilson,N/A,N/A,Mansfield,England,None,None,None,"Mansfield, England",England,9/14/1980,N/A,England-None-England,"Mansfield, England",N/A,"Mansfield, England","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_27506.png",,
Garrick Porteous,N/A,N/A,Morpeth,England,None,None,None,"Morpeth, England",England,1/17/1990,N/A,England-None-England,"Morpeth, England",N/A,"Morpeth, England","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_36976.png",,
Martin Trainer,"6'1""",175,Palo Alto,California,University of Southern California,Los Angeles,California,"Palo Alto, CA",California,4/15/1991,N/A,California-California-California,"Palo Alto, California","Los Angeles, California","Palo Alto, California","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_35617.png",,
Anthony Quayle,N/A,N/A,Brisbane,Australia,None,None,None,"Brisbane, Australia",Australia,8/25/1994,N/A,Australia-None-Australia,"Brisbane, Australia",N/A,"Brisbane, Australia","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_46798.png",,
Jovan Rebula,N/A,N/A,Bloemfontein,South Africa,Auburn University,Auburn,Alabama,"Bloemfontein, South Africa",South Africa,7/22/1997,N/A,South Africa-Alabama-South Africa,"Bloemfontein, South Africa","Auburn, Alabama","Bloemfontein, South Africa","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_51563.png",,
Yuvraj Sandhu,N/A,N/A,Chandigarh,India,None,None,None,"Chandigarh, India",India,3/23/1997,N/A,India-None-India,"Chandigarh, India",N/A,"Chandigarh, India","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_51787.png",,
Paul Barjon,N/A,N/A,Dumfries,Scotland,Texas Christian University,Fort Worth,Texas,"Dumfries, Scotland",Scotland,9/19/1992,N/A,Scotland-Texas-Scotland,"Dumfries, Scotland","Fort Worth, Texas","Dumfries, Scotland","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_37212.png",,
Logan McAllister,N/A,N/A,Tulsa,Oklahoma,University of Oklahoma,Norman,Oklahoma,"Tulsa, OK",Oklahoma,8/23/1998,N/A,Oklahoma-Oklahoma-Oklahoma,"Tulsa, Oklahoma","Norman, Oklahoma","Tulsa, Oklahoma","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_60015.png",,
Santiago Tarrio,N/A,N/A,A Coruña,Spain,None,None,None,"A Coruña, Spain",Spain,3/23/1990,N/A,Spain-None-Spain,"A Coruña, Spain",N/A,"A Coruña, Spain","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_48929.png",,
Cooper Dossey,N/A,N/A,Austin,Texas,Baylor University,Waco,Texas,"Austin, TX",Texas,8/23/1997,N/A,Texas-Texas-Texas,"Austin, Texas","Waco, Texas","Austin, Texas","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_58600.png",,
Kosuke Suzuki,N/A,N/A,Tokyo,Japan,None,None,None,"Tokyo, Japan",Japan,3/23/1993,N/A,Japan-None-Japan,"Tokyo, Japan",N/A,"Tokyo, Japan","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_53188.png",,
Shunya Takeyasu,N/A,N/A,Tokyo,Japan,None,None,None,"Tokyo, Japan",Japan,8/23/1992,N/A,Japan-None-Japan,"Tokyo, Japan",N/A,"Tokyo, Japan","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_34235.png",,
Cedric Gugler,N/A,N/A,Geneva,Switzerland,None,None,None,"Geneva, Switzerland",Switzerland,3/23/1996,N/A,Switzerland-None-Switzerland,"Geneva, Switzerland",N/A,"Geneva, Switzerland","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_55933.png",,
Ashun Wu,N/A,N/A,Beijing,China,None,None,None,"Beijing, China",China,5/22/1985,N/A,China-None-China,"Beijing, China",N/A,"Beijing, China","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_33870.png",,
Eun Shin Park,N/A,N/A,Seoul,South Korea,None,None,None,"Seoul, South Korea",South Korea,3/23/1989,N/A,South Korea-None-South Korea,"Seoul, South Korea",N/A,"Seoul, South Korea","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_34128.png",,
Martin Vorster,N/A,N/A,Pretoria,South Africa,None,None,None,"Pretoria, South Africa",South Africa,8/23/2001,N/A,South Africa-None-South Africa,"Pretoria, South Africa",N/A,"Pretoria, South Africa","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_56214.png",,
Chandler Blanchet,N/A,N/A,Miami,Florida,University of Tennessee,Knoxville,Tennessee,"Miami, FL",Florida,8/23/1996,N/A,Florida-Tennessee-Florida,"Miami, Florida","Knoxville, Tennessee","Miami, Florida","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_54788.png",,
Soomin Lee,N/A,N/A,Seoul,South Korea,None,None,None,"Seoul, South Korea",South Korea,10/12/1993,N/A,South Korea-None-South Korea,"Seoul, South Korea",N/A,"Seoul, South Korea","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_34168.png",,
Ahmad Baig,N/A,N/A,Lahore,Pakistan,None,None,None,"Lahore, Pakistan",Pakistan,3/23/1996,N/A,Pakistan-None-Pakistan,"Lahore, Pakistan",N/A,"Lahore, Pakistan","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_54237.png",,
Cho Min-jun,N/A,N/A,Seoul,South Korea,None,None,None,"Seoul, South Korea",South Korea,8/23/1988,N/A,South Korea-None-South Korea,"Seoul, South Korea",N/A,"Seoul, South Korea","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_25132.png",,
David Kocher,N/A,N/A,Bethesda,Maryland,University of Maryland,College Park,Maryland,"Bethesda, MD",Maryland,8/23/1996,N/A,Maryland-Maryland-Maryland,"Bethesda, Maryland","College Park, Maryland","Bethesda, Maryland","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_54652.png",,
Dustin Johnson,"6'4""",190,Columbia,South Carolina,Coastal Carolina University,Conway,South Carolina,"Jupiter, FL",Florida,6/22/1984,N/A,South Carolina-South Carolina-Florida,"Columbia, South Carolina","Conway, South Carolina","Jupiter, Florida","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_30925.png",,
Michael Johnson,N/A,N/A,Mobile,Alabama,Auburn University,Auburn,Alabama,"Mobile, AL",Alabama,8/23/1992,N/A,Alabama-Alabama-Alabama,"Mobile, Alabama","Auburn, Alabama","Mobile, Alabama","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_34643.png",,
